algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,10,5.35116873419701e-07,0.0876849,22,2,4,8,2,1e-06,0.846,37,13.9945711
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1568995,25,2,4,8,1,1e-06,0.846,37,13.9945711
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0822788,22,2,4,8,2,1e-06,0.846,37,13.9945711
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4515835,70,2,4,8,1,1e-06,0.846,37,13.9945711
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4019443,102,2,4,8,2,1e-06,0.846,37,13.9945711
FDA subspace,-1,19,7.13334114230166e-07,0.136987,22,2,4,8,1,1e-06,0.846,38,14.0157403
FDA subspace,-1,10,5.35116873419701e-07,0.1294609,22,2,4,8,2,1e-06,0.846,38,14.0157403
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1528291,25,2,4,8,1,1e-06,0.846,38,14.0157403
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0791624,22,2,4,8,2,1e-06,0.846,38,14.0157403
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4428,70,2,4,8,1,1e-06,0.846,38,14.0157403
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3830319,102,2,4,8,2,1e-06,0.846,38,14.0157403
FDA subspace,-1,19,7.13334114230166e-07,0.1451383,22,2,4,8,1,1e-06,0.846,39,14.3040166
FDA subspace,-1,10,5.35116873419701e-07,0.0866307,22,2,4,8,2,1e-06,0.846,39,14.3040166
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.147638,25,2,4,8,1,1e-06,0.846,39,14.3040166
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.080806,22,2,4,8,2,1e-06,0.846,39,14.3040166
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4429623,70,2,4,8,1,1e-06,0.846,39,14.3040166
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3888647,102,2,4,8,2,1e-06,0.846,39,14.3040166
